date,uri,hdUri,copyright,type
2012-11-08,https://apod.nasa.gov/apod/image/1211/TadpoleGalaxyPS1V9snyder900.jpg,https://apod.nasa.gov/apod/image/1211/TadpoleGalaxyPS1V9snyder.jpg,,image
2012-11-09,https://apod.nasa.gov/apod/image/1211/Mel15cancellimortfield900.jpg,https://apod.nasa.gov/apod/image/1211/Mel15cancellimortfield.jpg,Stefano Cancelli,image
2012-11-10,https://apod.nasa.gov/apod/image/1211/ngc660_gemini_legacy956.jpg,https://apod.nasa.gov/apod/image/1211/ngc660_gemini_legacy.jpg,,image
2012-11-11,https://apod.nasa.gov/apod/image/1211/bailysbeads_durman_960.jpg,https://apod.nasa.gov/apod/image/1211/bailysbeads_durman_4015.jpg,Leonid Durman,image
2012-11-12,https://apod.nasa.gov/apod/image/1211/meteorfalls_legault_603.jpg,https://apod.nasa.gov/apod/image/1211/meteorfalls_legault_881.jpg,Thierry,image
2012-11-13,https://apod.nasa.gov/apod/image/1211/eclipsequilt_winkelman_960.jpg,https://apod.nasa.gov/apod/image/1211/eclipsequilt_winkelman_1200.jpg,CXC,image
2012-11-14,https://www.youtube.com/embed/ZSt9tm3RoUU?rel=0,https://www.youtube.com/embed/ZSt9tm3RoUU?rel=0,"MelodySheep, 
 Symphony of Science, 
 John Boswell;
  Music Credit: 
 Our Story",video
2012-11-15,https://apod.nasa.gov/apod/image/1211/TSE2012PhilHart_6999_900px.jpg,https://apod.nasa.gov/apod/image/1211/TSE2012PhilHart_6999_1600px.jpg,Phil Hart,image
2012-11-16,https://apod.nasa.gov/apod/image/1211/Total_Solar_Eclipse_2012Cooper900.jpg,https://apod.nasa.gov/apod/image/1211/Total_Solar_Eclipse_2012Cooper.jpg,"Ben
 Cooper",image
2012-11-17,https://apod.nasa.gov/apod/image/1211/Cherney_EllisBeachDiamondRing3_900.jpg,https://apod.nasa.gov/apod/image/1211/Cherney_EllisBeachDiamondRing3.jpg,Terrastro,image
2012-11-18,https://apod.nasa.gov/apod/image/1211/ngc6357a_hst_960.jpg,https://apod.nasa.gov/apod/image/1211/ngc6357a_hst_1280.jpg,,image
2012-11-19,https://apod.nasa.gov/apod/image/1211/leonidsmonuments_sabatini_960.jpg,https://apod.nasa.gov/apod/image/1211/leonidsmonuments_sabatini_2330.jpg,Sean M. Sabatini,image
2012-11-20,https://apod.nasa.gov/apod/image/1211/moonhalo_ayiomamitis_960.jpg,https://apod.nasa.gov/apod/image/1211/moonhalo_ayiomamitis_950.jpg,Anthony Ayiomamitis,image
2012-11-21,https://apod.nasa.gov/apod/image/1211/tse2012C3shadowbands_StephenMudge900.jpg,https://apod.nasa.gov/apod/image/1211/tse2012C3shadowbands_StephenMudge.jpg,Stephen Mudge,image
2012-11-22,https://apod.nasa.gov/apod/image/1211/leonid2012bolideVetter950.jpg,https://apod.nasa.gov/apod/image/1211/leonid2012bolideVetter1500.jpg,"Stéphane
 Vetter",image
2012-11-23,https://apod.nasa.gov/apod/image/1211/pipe_neb_30beletsky900.jpg,https://apod.nasa.gov/apod/image/1211/pipe_neb_30beletsky.jpg,Yuri Beletsky,image
